year,1,2,3,4,5,6,7,8,9,10,11,12
2022,,,160.05882352941177,115.96666666666667,110.7741935483871,93.76666666666667,75.16129032258064,87.09677419354838,84.93333333333334,117.90322580645162,68.53333333333333,75.83870967741936
2023,72.03225806451613,85.0,91.12903225806451,55.7,106.93548387096774,98.3,95.38709677419355,117.48387096774194,101.2,95.03225806451613,110.06666666666666,124.12903225806451
2024,127.64516129032258,109.89655172413794,146.16129032258064,129.5,154.8709677419355,156.96666666666667,154.1290322580645,171.6451612903226,180.1,183.41935483870967,184.96666666666667,164.51612903225808
2025,181.80645161290323,192.35714285714286,169.74193548387098,155.03333333333333,159.48387096774192,169.33333333333334,190.4516129032258,165.03225806451613,189.86666666666667,184.4516129032258,195.8,182.51612903225808
2026,198.6451612903226,213.14285714285714,216.67741935483872,198.76666666666668,216.2258064516129,195.2,,,,,,
