weekday,avg_alert_hours_per_day,days_observed
Monday,139.65315315315314,222
Tuesday,141.4394618834081,223
Wednesday,145.53363228699553,223
Thursday,146.60538116591928,223
Friday,144.88340807174887,223
Saturday,140.11659192825113,223
Sunday,131.48648648648648,222
