month,avg_alert_hours_per_day,days_observed
1,145.03225806451613,124
2,149.7433628318584,113
3,156.4255319148936,141
4,130.99333333333334,150
5,149.65806451612903,155
6,138.96428571428572,140
7,128.78225806451613,124
8,135.31451612903226,124
9,139.025,120
10,145.2016129032258,124
11,139.84166666666667,120
12,136.75,124
